310.422,197.681,0,MASAKI
308.406,201.007,0,MASAKI
300.075,213.176,0,MASAKI
287.578,224.59,15,MASAKI
274.006,230.939,15,MASAKI
260.166,233.433,17,MASAKI
244.578,228.974,17,MASAKI
234.366,220.962,15,MASAKI
228.05,208.49,17,MASAKI
228.05,197.076,16,MASAKI
233.291,183.698,17,MASAKI
246.594,169.261,17,MASAKI
260.972,161.173,18,MASAKI
274.544,157.091,15,MASAKI
287.309,160.946,17,MASAKI
293.491,172.284,17,MASAKI
293.491,190.198,17,MASAKI
287.309,216.2,15,MASAKI
278.709,236.457,17,MASAKI
268.766,251.196,17,MASAKI
253.85,264.877,16,MASAKI
244.041,267.371,17,MASAKI
231.006,259.586,17,MASAKI
221.331,239.027,17,MASAKI
216.897,212.42,17,MASAKI
219.181,183.698,16,MASAKI
230.2,153.69,16,MASAKI
239.606,141.218,17,MASAKI
216.888,166.771,16,O2i3
211.301,154.54,0,O2i3
209.08,136.97,0,O2i3
214.936,126.406,7,O2i3
224.697,122.013,14,O2i3
249.403,122.202,17,O2i3
268.05,131.707,17,O2i3
280.234,146.74,19,O2i3
282.994,158.478,17,O2i3
279.427,171.542,16,O2i3
273.031,178.509,16,O2i3
262.732,179.57,16,O2i3
246.037,169.308,17,O2i3
236.882,155.941,17,O2i3
233.583,144.506,15,O2i3
234.66,134.509,17,O2i3
242.469,129.245,18,O2i3
258.02,128.943,16,O2i3
282.187,138.939,16,O2i3
294.977,153.972,19,O2i3
296.66,165.105,16,O2i3
289.726,177.601,15,O2i3
270.541,188.279,19,O2i3
253.038,188.544,16,O2i3
234.66,177.411,17,O2i3
219.11,153.972,16,O2i3
216.35,138.144,16,O2i3
219.379,125.648,17,O2i3
541.764,297.106,10,Ludicin
540.888,298.167,0,Ludicin
540.081,299.265,0,Ludicin
539.273,300.439,0,Ludicin
537.859,301.499,11,Ludicin
537.859,301.499,1,Ludicin
533.416,305.399,19,Ludicin
529.512,307.936,18,Ludicin
529.512,307.936,4,Ludicin
527.29,309.905,11,Ludicin
522.578,314.601,16,Ludicin
522.578,314.601,2,Ludicin
517.597,319.069,16,Ludicin
514.5,320.432,13,Ludicin
512.548,320.432,17,Ludicin
511.471,317.706,15,Ludicin
510.932,315.774,9,Ludicin
510.057,314.298,7,Ludicin
507.028,310.208,17,Ludicin
505.614,308.731,10,Ludicin
500.902,304.339,11,Ludicin
493.968,299.833,18,Ludicin
486.698,295.63,17,Ludicin
483.938,293.471,13,Ludicin
483.13,292.297,12,Ludicin
482.255,290.934,5,Ludicin
482.255,290.934,16,Ludicin
482.255,290.934,2,Ludicin
